Out_Avg_Temp,Out_RH,Out_label,In_Avg_Temp,In_RH,In_label
22.8,0.0176490403227,1.0,21.9,0.0175390570979,0.0
22.7,0.0176471748936,1.0,21.9,0.0175863321844,0.0
22.6,0.0177923300217,1.0,21.9,0.0175154195546,0.0
22.2,0.017604420049,1.0,21.9,0.0174445069248,0.0
22.2,0.0173879722615,1.0,21.9,0.0175390570979,0.0
22.2,0.0174120220156,1.0,21.9,0.0173263192086,0.0
22.3,0.0174883090235,1.0,21.9,0.0174445069248,0.0
22.5,0.01766601766,1.0,21.9,0.0173263192086,0.0
22.4,0.0175161621795,1.0,21.9,0.0174445069248,0.0
22.4,0.0175891461886,1.0,21.9,0.0174208693816,0.0
22.3,0.0176334402187,1.0,21.9,0.0173263192086,0.0
22.1,0.0175272504881,1.0,21.9,0.0174681444681,0.0
21.9,0.0176572448142,1.0,21.9,0.0173499567518,0.0
21.6,0.0177488347937,1.0,21.8,0.0173441106145,0.0
21.3,0.0176486922624,1.0,21.8,0.01722660309,0.0
21.3,0.0176715236884,1.0,21.8,0.0172031015851,0.0
21.3,0.0175801979846,1.0,21.8,0.0172971076047,0.0
21.3,0.0176258608365,1.0,21.8,0.0172031015851,0.0
21.1,0.017557951938,1.0,21.8,0.0172736060998,0.0
20.9,0.0176004842012,1.0,21.8,0.0171325970704,0.0
20.7,0.0177055174868,1.0,21.8,0.0172736060998,0.0
20.5,0.0175221216015,1.0,21.8,0.0172031015851,0.0
20.4,0.0175285089114,1.0,21.8,0.0170620925557,0.0
20.4,0.0175068420277,1.0,21.8,0.0172736060998,0.0
20.4,0.0175068420277,1.0,21.8,0.0171090955655,0.0
20.3,0.0172972007295,1.0,21.8,0.0172031015851,0.0
20.6,0.0173176891878,1.0,21.8,0.0171090955655,0.0
20.5,0.0173041847657,1.0,21.8,0.0171796000802,0.0
20.4,0.0173335069582,1.0,21.8,0.0171325970704,0.0
20.3,0.0173833636223,1.0,21.8,0.0170385910508,0.0
20.0,0.0172714977919,1.0,21.8,0.01722660309,0.0
19.9,0.0173389553105,1.0,21.8,0.0170620925557,0.0
19.9,0.0172547856245,1.0,21.8,0.0171325970704,0.0
